epoch,train_relative_l2,validation_relative_l2,best_validation_relative_l2,epoch_seconds
1,0.6645121554136276,0.07690335420891642,0.07690335420891642,5.141637429594994
2,0.6241181191951036,0.077618318926543,0.07690335420891642,3.803010053932667
3,0.6204764308035373,0.0741558170877397,0.0741558170877397,3.6521237194538116
4,0.6152673324048519,0.07508534895256162,0.0741558170877397,3.596174418926239
5,0.6132613134086132,0.0766293912101537,0.0741558170877397,3.6151817589998245
6,0.6108151832222939,0.07404126989655196,0.07404126989655196,3.7372337952256203
7,0.6116019590497017,0.07471030054613947,0.07404126989655196,3.560061641037464
8,0.6092850929200649,0.07523126217536628,0.07404126989655196,3.6608802378177643
9,0.6077174893021584,0.07513836397789418,0.07404126989655196,3.513256311416626
10,0.609429459631443,0.07535668821074068,0.07404126989655196,3.554987460374832
11,0.6119592367708683,0.07548369149677456,0.07404126989655196,3.5863575115799904
12,0.6112576621174812,0.07652109943330287,0.07404126989655196,3.5250645205378532
13,0.6062466497123241,0.07397110615856946,0.07397110615856946,3.7024246528744698
14,0.6091923263967037,0.07472193766385317,0.07397110615856946,3.6292267069220543
15,0.6111958642899991,0.07473362465389073,0.07397110615856946,3.5438788011670113
16,0.6092858370840549,0.0775820598192513,0.07397110615856946,3.5327233374118805
17,0.6083571957051754,0.07482992475852371,0.07397110615856946,3.5056848376989365
18,0.611772197753191,0.07453560187481344,0.07397110615856946,3.6218408793210983
19,0.6068465829789639,0.07470488983206451,0.07397110615856946,3.6701595038175583
20,0.6090639796555042,0.07420800881460309,0.07397110615856946,3.622389242053032
21,0.6123024509102106,0.07463102807290851,0.07397110615856946,3.6457448080182076
22,0.6095061039626598,0.07448125528171659,0.07397110615856946,3.688232995569706
23,0.6067290661931037,0.07465149373747408,0.07397110615856946,3.6269378811120987
24,0.6034979707300663,0.07578108847141266,0.07397110615856946,3.6521510183811188
25,0.6062170791327953,0.07558504685759544,0.07397110615856946,3.6161742359399796
26,0.6021907642036677,0.07283805375918746,0.07283805375918746,4.020211793482304
27,0.5924154507815838,0.07119732594117523,0.07119732594117523,3.8613561391830444
28,0.569731431633234,0.06802314871922135,0.06802314871922135,3.8230527117848396
29,0.5917385141551494,0.0821032103523612,0.06802314871922135,3.63546322286129
30,0.5897266547679901,0.07321707554161548,0.06802314871922135,3.7005503475666046
31,0.5804376423060894,0.06862974014133215,0.06802314871922135,3.678073652088642
32,0.5819059818834066,0.06824622611515224,0.06802314871922135,3.7629112526774406
33,0.5749584223926067,0.07338457508012652,0.06802314871922135,3.6430090442299843
34,0.5685860948562622,0.06418711384758354,0.06418711384758354,4.037013776600361
35,0.5731533731669187,0.07031263278797269,0.06418711384758354,3.671215735375881
36,0.5598299585282802,0.06691247035749256,0.06418711384758354,3.71506879478693
37,0.5539289480000734,0.0750153703801334,0.06418711384758354,3.5830974504351616
38,0.5591080292761326,0.06097766352817416,0.06097766352817416,3.7654313147068024
39,0.5497012530863286,0.06581063536927104,0.06097766352817416,3.697235517203808
40,0.5382952905595303,0.06679936276748777,0.06097766352817416,3.6611636504530907
41,0.5596144907474517,0.06244282186031341,0.06097766352817416,3.6268440932035446
42,0.5248815357685089,0.05951250736601651,0.05951250736601651,3.8195120841264725
43,0.5109647699892521,0.06263860723003745,0.05951250736601651,3.6487976908683777
44,0.5526202259361744,0.058540167044848206,0.058540167044848206,3.7513010129332542
45,0.5625920645147562,0.0632967522740364,0.058540167044848206,3.725291021168232
46,0.5237890387922526,0.06629777770489455,0.058540167044848206,3.6754455491900444
47,0.5452148497998714,0.06225302843376994,0.058540167044848206,3.660786919295788
48,0.5632138709872961,0.06605159539729356,0.058540167044848206,3.6043920889496803
49,0.5828006526529789,0.06045843587256968,0.058540167044848206,3.6427882611751556
50,0.5813636929094791,0.07008112252689898,0.058540167044848206,3.6566090434789658
51,0.529535519555211,0.05985320173203945,0.058540167044848206,3.6197400614619255
52,0.5464775307923555,0.06421083058230578,0.058540167044848206,3.5749899074435234
53,0.512252569720149,0.06049084577709436,0.058540167044848206,3.5766258016228676
54,0.5271481149792672,0.06151197822764516,0.058540167044848206,3.55120612680912
55,0.5112617078125476,0.0687787620164454,0.058540167044848206,3.5499887838959694
56,0.5397243526279927,0.057248286725953224,0.057248286725953224,3.6725369840860367
57,0.5133586213886738,0.05589892696589231,0.05589892696589231,3.7705385759472847
58,0.5147286069244147,0.056085910759866235,0.05589892696589231,3.5488602593541145
59,0.5549715512096882,0.0819825641065836,0.05589892696589231,3.6198914870619774
60,0.514608417391777,0.0606922890432179,0.05589892696589231,3.58835019916296
61,0.5083073759675026,0.05719690275378525,0.05589892696589231,3.526680551469326
62,0.5105648920983076,0.056897784788161515,0.05589892696589231,3.576057218015194
63,0.480606105864048,0.0569866485055536,0.05589892696589231,3.5607198402285576
64,0.4858231151849031,0.05377995648421347,0.05377995648421347,3.627042680978775
65,0.4947843526005745,0.05521275890991092,0.05377995648421347,3.499922998249531
66,0.4999517537504435,0.06300347690470516,0.05377995648421347,3.6321088671684265
67,0.485275589376688,0.05452821314334869,0.05377995648421347,3.6406766697764397
68,0.5035055633634329,0.052129699802026155,0.052129699802026155,3.7847560048103333
69,0.4769692294448614,0.06900452830828727,0.052129699802026155,3.6393977478146553
70,0.48981457169353965,0.051193683501333,0.051193683501333,3.834425300359726
71,0.4987227172255516,0.05259821624495089,0.051193683501333,3.825849696993828
72,0.461944727435708,0.05233394987881183,0.051193683501333,3.5902169346809387
73,0.4506456428319216,0.047003802908584476,0.047003802908584476,3.7377540469169617
74,0.45106375333666804,0.055413542352616786,0.047003802908584476,3.6822322458028793
75,0.43663522408902644,0.045983014740049837,0.045983014740049837,3.7675999775528908
76,0.42686866809427737,0.04516855902038515,0.04516855902038515,3.747738257050514
77,0.44669083727896214,0.04477891485206783,0.04477891485206783,3.7312518805265427
78,0.4618329856842756,0.06060293523594737,0.04477891485206783,3.755199946463108
79,0.44981246906518935,0.04992306102067232,0.04477891485206783,3.6844876930117607
80,0.44164065083861354,0.05135902736335993,0.04477891485206783,3.6638098284602165
81,0.4081801849603653,0.04681684168986976,0.04477891485206783,3.6025927662849426
82,0.3966143312603235,0.054201600523665544,0.04477891485206783,3.657382197678089
83,0.41880254992842675,0.04374482301063835,0.04374482301063835,3.720579318702221
84,0.38682496318221093,0.04207354600541294,0.04207354600541294,3.7180089876055717
85,0.39866748048365114,0.044655354050919416,0.04207354600541294,3.6731826215982437
86,0.4008897205591202,0.051211315570399166,0.04207354600541294,3.580914191901684
87,0.38868341340124607,0.04035570135340095,0.04035570135340095,3.6247532814741135
88,0.3572511087656021,0.04141655490733683,0.04035570135340095,3.490231841802597
89,0.39590396457910537,0.04880944486707449,0.04035570135340095,3.51476126909256
90,0.4061496626287699,0.03964800290763378,0.03964800290763378,3.631066881120205
91,0.3656384888738394,0.03360546581447124,0.03360546581447124,3.6919808238744736
92,0.3147323039472103,0.02931351120583713,0.02931351120583713,3.6315723657608032
93,0.3331954001188278,0.03787953401915729,0.02931351120583713,3.607695832848549
94,0.34392124646902084,0.050071577802300454,0.02931351120583713,3.5371413975954056
95,0.3768107800483704,0.04297970135696232,0.02931351120583713,3.5319847017526627
96,0.3161395222395659,0.03671654966659844,0.02931351120583713,3.7096729576587677
97,0.35541971372067926,0.0503753124922514,0.02931351120583713,3.558477595448494
98,0.3473940848559141,0.03402233617380261,0.02931351120583713,3.537751242518425
99,0.33857335433363916,0.03896862542256713,0.02931351120583713,3.6666997745633125
100,0.32652127054333685,0.0330161412153393,0.02931351120583713,3.705471709370613
101,0.34223528361320493,0.03898274245671928,0.02931351120583713,3.615784242749214
102,0.3843704783469439,0.05529633801430464,0.02931351120583713,3.6579682379961014
103,0.36325194157660007,0.04498507578857243,0.02931351120583713,4.083315670490265
104,0.3570185492634773,0.05010675553232431,0.02931351120583713,3.8639327362179756
105,0.3801718220710754,0.035133834779262546,0.02931351120583713,3.9957891702651978
106,0.33896876859664915,0.04582962039858103,0.02931351120583713,3.7917094230651855
107,0.31236416383832694,0.03236073549836874,0.02931351120583713,4.693976134061813
108,0.30746789138019087,0.03745002501644194,0.02931351120583713,4.674685969948769
109,0.3285803085565567,0.03643815104849637,0.02931351120583713,3.6552341654896736
110,0.33139443369209765,0.03997433022595942,0.02931351120583713,3.739839628338814
111,0.30461640590429306,0.03718109985813498,0.02931351120583713,3.8934366405010223
112,0.3051092834919691,0.029815742038190363,0.02931351120583713,3.7814182117581367
113,0.28724219684302804,0.04100376818329096,0.02931351120583713,3.73741801828146
114,0.2862691567540169,0.02921430058311671,0.02921430058311671,3.89765527844429
115,0.2810949811041355,0.029270962327718735,0.02921430058311671,3.6815105229616165
116,0.27340637643635274,0.029435664755292235,0.02921430058311671,3.713355489075184
117,0.29682094857096675,0.03503984128125012,0.02921430058311671,3.7255060970783234
118,0.29823382759839295,0.04453519466333091,0.02921430058311671,3.7102854251861572
119,0.317108212120831,0.029579936880618333,0.02921430058311671,3.8217467963695526
120,0.3201455146744847,0.03893427778035402,0.02921430058311671,3.860586941242218
