benchmark,metric,method,beta,production_beta,cases,rauec_mean,rauec_std,relative_to_beta0_mean,relative_to_beta0_std
plasticity2d,field,cpg,0.75,1.0,80,1.0028093276718026,0.007465895925629542,0.4331258096775157,0.0010718742697595485
plasticity2d,field,cpg,1.0,1.0,80,0.8889984799496041,0.0037907007448861585,0.3839738588828243,0.0006684776603124498
plasticity2d,field,ca,0.0,1.0,80,1.890752994398692,0.024665665305491878,1.0,0.0
plasticity2d,field,ca,0.25,1.0,80,1.5298428909052848,0.01056384516081273,0.8091616362355113,0.00503430670869775
plasticity2d,field,ca,0.5,1.0,80,1.2074828174452683,0.003232447422778665,0.6386860406295858,0.007063292570097017
plasticity2d,field,ca,0.75,1.0,80,0.9668616274016694,0.002021001261345694,0.511423684807936,0.007020181260871208
plasticity2d,field,ca,1.0,1.0,80,0.8897146033821274,0.004888297233289659,0.47063040278066287,0.008169975620405417
shapenet_car,field,pi,0.0,0.5,100,0.6301494272531376,0.0019346927376802652,1.0,0.0
shapenet_car,field,pi,0.25,0.5,100,0.5989980881990341,0.0018329928848869368,0.9505651833207702,0.0001510146380323022
shapenet_car,field,pi,0.5,0.5,100,0.5895153751427126,0.0018044311773258428,0.9355168437022604,0.00027087287588599613
shapenet_car,field,pi,0.75,0.5,100,0.5998620955065824,0.0018730587996303174,0.9519362125734979,0.00035474152930246524
shapenet_car,field,pi,1.0,0.5,100,0.6233997760711407,0.0019595650404154465,0.9892887008803358,0.0003498646950087808
shapenet_car,field,cpg,0.0,1.0,100,0.5962183503117899,0.0021384357998413457,1.0,0.0
shapenet_car,field,cpg,0.25,1.0,100,0.573237557174886,0.0020669729624163877,0.9614556996363208,3.820323116089263e-05
shapenet_car,field,cpg,0.5,1.0,100,0.5573441420231567,0.00203668297297503,0.9347985561211521,9.769382887308809e-05
shapenet_car,field,cpg,0.75,1.0,100,0.5516304263024615,0.002099757866552156,0.9252149597132115,0.0002077614067415267
shapenet_car,field,cpg,1.0,1.0,100,0.557696010355432,0.0021879520287366333,0.9353881205422928,0.0003158752608319447
shapenet_car,field,ca,0.0,1.0,100,0.5961731415729691,0.0021843897636486882,1.0,0.0
shapenet_car,field,ca,0.25,1.0,100,0.5732108215600903,0.002138253582625753,0.9614836514006334,6.891983013915628e-05
shapenet_car,field,ca,0.5,1.0,100,0.5573251640394987,0.002112787965447358,0.9348374706133025,0.00012335825472198548
shapenet_car,field,ca,0.75,1.0,100,0.5516368213201808,0.0021558557411554225,0.925295785810886,0.00025029338042106017
shapenet_car,field,ca,1.0,1.0,100,0.5577376679241605,0.0022174152501419652,0.9355289769418004,0.0003303541882314136
shapenet_car,cd,pi,0.0,0.5,100,0.7649313841527001,0.002223455243809903,1.0,0.0
shapenet_car,cd,pi,0.25,0.5,100,0.6780948840947846,0.0011751275016677117,0.8864805746012637,0.0015571829011807553
shapenet_car,cd,pi,0.5,0.5,100,0.656056472145142,0.001683241902947474,0.8576692899778754,0.002072017053817491
shapenet_car,cd,pi,0.75,0.5,100,0.6968787950563172,0.004783109682959781,0.9110294025696963,0.004307279869248901
shapenet_car,cd,pi,1.0,0.5,100,0.8049848989991452,0.006540748295376518,1.0523527150054104,0.005796551177568806
shapenet_car,cd,cpg,0.0,0.75,100,0.8113423121874671,0.00440034436491271,1.0,0.0
shapenet_car,cd,cpg,0.25,0.75,100,0.7251386789161997,0.004187222974142401,0.8937508949792204,0.0007907292790256024
shapenet_car,cd,cpg,0.5,0.75,100,0.6683037519811291,0.00460720856192693,0.8236969966002969,0.0012293351068319168
shapenet_car,cd,cpg,0.75,0.75,100,0.6474297633445801,0.004535051254729606,0.7979691783544128,0.0013528187937300255
shapenet_car,cd,cpg,1.0,0.75,100,0.6790766049967102,0.005752026778437346,0.8369700637962944,0.0025940771736076133
shapenet_car,cd,ca,0.0,0.75,100,0.8130403480587131,0.004002964526279803,1.0,0.0
shapenet_car,cd,ca,0.25,0.75,100,0.7265096606223814,0.003723042030257012,0.8935710579594752,0.0007161198083862673
shapenet_car,cd,ca,0.5,0.75,100,0.6690272939394551,0.003991789047947217,0.8228681556615393,0.0008624157012431087
shapenet_car,cd,ca,0.75,0.75,100,0.6478563276651766,0.004037399591603896,0.7968283716664133,0.0011249452995347998
shapenet_car,cd,ca,1.0,0.75,100,0.6784084649765427,0.004975673149055791,0.8344027629920786,0.0020102082828907177
driverml,field,pi,0.0,1.0,50,0.9398472987492044,8.581599069393199e-05,1.0,0.0
driverml,field,pi,0.25,1.0,50,0.9133832175016824,9.905163188332542e-05,0.9718421469237715,2.0644784964408395e-05
driverml,field,pi,0.5,1.0,50,0.8953744664974356,0.00010057404711227016,0.9526807881938945,2.0207126410890322e-05
driverml,field,pi,0.75,1.0,50,0.8856463037019427,0.00010112431785383451,0.9423299975319327,3.453367133347922e-05
driverml,field,pi,1.0,1.0,50,0.8834218637686698,0.00011272156304936879,0.9399631875415447,6.258279278545231e-05
driverml,field,cpg,0.0,1.0,50,0.9297623916044581,3.835452902255573e-05,1.0,0.0
driverml,field,cpg,0.25,1.0,50,0.8836608368868871,3.176597697692231e-05,0.9504157676432535,2.035354058808742e-05
driverml,field,cpg,0.5,1.0,50,0.8494250490496347,2.4144530098024305e-05,0.913593685472358,4.400139906620948e-05
driverml,field,cpg,0.75,1.0,50,0.8289318601701313,3.787142275471764e-05,0.8915523676394761,6.598323262261882e-05
driverml,field,cpg,1.0,1.0,50,0.8245837094938565,4.653772363815846e-05,0.8868757421795666,7.600480228186376e-05
driverml,field,ca,0.0,1.0,50,1.3279682456355006,0.0013129905618679773,1.0,0.0
driverml,field,ca,0.25,1.0,50,1.0891075044219216,0.0001560235889535458,0.8201312242775236,0.0008292859364809624
driverml,field,ca,0.5,1.0,50,0.9435392149726015,0.00012564905380573564,0.7105137883332436,0.0006103858867855979
driverml,field,ca,0.75,1.0,50,0.8545910197609566,0.0001573984479248163,0.6435330676957239,0.000526009375925714
driverml,field,ca,1.0,1.0,50,0.8263470726403778,0.00019208901292051258,0.6222645093906823,0.0005055486174963357
driverml,cd,pi,0.0,1.0,50,4.955260300185945,0.006985303244107148,1.0,0.0
driverml,cd,pi,0.25,1.0,50,3.371820012146919,0.0033910362108082624,0.6804537125699711,0.0013093414000203754
driverml,cd,pi,0.5,1.0,50,2.0941917188042143,0.0018687467592190161,0.4226204448971949,0.0006718150872990846
driverml,cd,pi,0.75,1.0,50,1.1418934165239618,0.0013867773944089,0.2304411210117084,0.000544780201167582
driverml,cd,pi,1.0,1.0,50,0.9245462404290669,0.001487578417510848,0.18657899337945305,0.0004012598247048729
driverml,cd,cpg,0.0,1.0,50,2.5120827694587606,0.00482329901046193,1.0,0.0
driverml,cd,cpg,0.25,1.0,50,1.8804138895746896,0.004047372142859483,0.7485476740210014,0.0006091797600152168
driverml,cd,cpg,0.5,1.0,50,1.2887812967987624,0.003467895969914479,0.5130326633348212,0.0006735909265757066
driverml,cd,cpg,0.75,1.0,50,0.9987212630709678,0.0021175251046936625,0.3975669316985591,0.00014556037111013615
driverml,cd,cpg,1.0,1.0,50,0.9209289585054229,0.0014790962016246307,0.3665999223169096,0.00014767061710157153
driverml,cd,ca,0.0,1.0,50,2.8281897550773576,0.0024744545127388874,1.0,0.0
driverml,cd,ca,0.25,1.0,50,2.150153316818089,0.0025937894762476515,0.7602576528971549,0.0002582536134267247
driverml,cd,ca,0.5,1.0,50,1.440268795290251,0.0013466932499399185,0.5092546690696782,0.00022632549374623643
driverml,cd,ca,0.75,1.0,50,1.0100869201534468,0.0014040775595530687,0.3571495875257491,0.00032419076091702977
driverml,cd,ca,1.0,1.0,50,0.9243830681159455,0.0015323949048707299,0.326846161536577,0.0004199158277460026
superwing,field,pi,0.0,1,2871,0.8369255149831272,0.0005699355679243463,1.0,0.0
superwing,field,pi,0.25,1,2871,0.790436613347961,0.0007624040933512192,0.9444527553583052,0.0006323374283454521
superwing,field,pi,0.5,1,2871,0.7698985614424586,0.0007684678702858956,0.9199128033670779,0.0004866940477261011
superwing,field,pi,0.75,1,2871,0.7590719551414878,0.0007852191363749785,0.9069766160563381,0.00047591808964632203
superwing,field,pi,1.0,1,2871,0.7564015031544041,0.0007914439162736853,0.9037858130485423,0.00045146816191739736
superwing,field,cpg,0.0,1,2871,1.9796007915405458,0.010607209234467282,1.0,0.0
superwing,field,cpg,0.25,1,2871,1.1985703218510455,0.006971018490824279,0.6054596316451354,0.0002937393624876702
superwing,field,cpg,0.5,1,2871,0.836242946350375,0.00364290790417972,0.42243409838206253,0.0018240751474219088
superwing,field,cpg,0.75,1,2871,0.7111491927896143,0.0018926851600548943,0.3592441528944068,0.001760079851125135
superwing,field,cpg,1.0,1,2871,0.6705875596011484,0.0021209607603305783,0.33875317419656503,0.0014866805258039477
superwing,field,ca,0.0,1,2871,2.325157585437322,0.011066141096212885,1.0,0.0
superwing,field,ca,0.25,1,2871,1.3110984942337869,0.004709177634995942,0.5638783449040394,0.0015342580659275353
superwing,field,ca,0.5,1,2871,0.8868672173290664,0.0021064320122313714,0.3814287969096921,0.0021980165346763897
superwing,field,ca,0.75,1,2871,0.7590168345691737,0.0021386578558795794,0.32644076114931386,0.001541896757817632
superwing,field,ca,1.0,1,2871,0.7192670041910207,0.0021060990008040276,0.3093452520907707,0.0015565889861617937
superwing,cdcl,pi,0.0,1,2563,1.409340001325108,0.4255406479500847,1.0,0.0
superwing,cdcl,pi,0.25,1,2563,0.9877568823090312,0.005975467042941738,0.7393120492565446,0.19100379933605346
superwing,cdcl,pi,0.5,1,2563,0.9077903312874517,0.006273625564367281,0.6793740661251609,0.17512586794830928
superwing,cdcl,pi,0.75,1,2563,0.8511807068359865,0.005855463251520998,0.6369074951079005,0.16370369298629986
superwing,cdcl,pi,1.0,1,2563,0.8245604098914813,0.0053861249937723,0.6169166464574042,0.1582239065849248
superwing,cdcl,cpg,0.0,1,2563,1.4403029760778665,0.015187804145159184,1.0,0.0
superwing,cdcl,cpg,0.25,1,2563,1.165803072422696,0.016151319214039936,0.8094011091311808,0.004330433954401184
superwing,cdcl,cpg,0.5,1,2563,0.966699629437238,0.009591677880702624,0.6711848311155914,0.0028086260843326744
superwing,cdcl,cpg,0.75,1,2563,0.8400446352266465,0.007797794134529558,0.5832521620376183,0.00312202195814041
superwing,cdcl,cpg,1.0,1,2563,0.8025912635224284,0.0076054611739678115,0.5572471304459493,0.002962600119718229
superwing,cdcl,ca,0.0,1,2563,1.766904288774521,0.02126387635061596,1.0,0.0
superwing,cdcl,ca,0.25,1,2563,1.3580877918986065,0.007394694220977371,0.7686659361931546,0.005033380510519413
superwing,cdcl,ca,0.5,1,2563,1.081531417474583,0.006749235107703459,0.6121374691951975,0.004435974151363992
superwing,cdcl,ca,0.75,1,2563,0.8952638884045946,0.006252674367278731,0.5067091787915677,0.0035021123212611496
superwing,cdcl,ca,1.0,1,2563,0.8167495818964738,0.00699746112900863,0.4622704036946667,0.00383980074017204
