budget_group,method,point_count,design_seconds,total_seconds,steps,predicted_ratio,CFD_ratio,CFD_ratio_error_percent,CFD_field_relative_L2_percent,relative_residual
0.1875,full,11271,0.8375708386301994,0.9383894801139832,41,0.05687523121131084,0.05879236369593055,3.2608528796953418,0.2495553798892546,9.716502009973118e-08
0.1875,ca_original,2113,0.32068995386362076,0.41623079776763916,45,0.05887470882013465,0.058742442746521094,0.22516270592338739,0.6065714500697406,9.820187345958561e-08
0.1875,ca_retuned,2113,0.3803667575120926,0.4618401899933815,56,0.060854203986964915,0.05988041662346838,1.626220087311303,0.6808945669485218,8.522165017893508e-08
0.375,full,11271,0.8412387073040009,0.9440857172012329,41,0.05687523121131084,0.05879236369593055,3.2608528796953418,0.2495553798892546,9.716502009973118e-08
0.375,ca_original,4227,0.6602745205163956,0.7644485011696815,54,0.056462393193622444,0.05867482387005108,3.7706643676145957,0.3704075215252415,8.885254462501544e-08
0.375,ca_retuned,4227,0.4518570005893707,0.5441281124949455,41,0.0605825027204728,0.05881408811574874,3.006787423523005,0.5607975441113405,9.829488720217019e-08
