benchmark,metric,budget_percent,plot_budget_percent,raw_mean_error,raw_std_error,normalized_mean,normalized_std,n_seeds,sample_count,sampling
airfoil2d,field,37.5,37.40573152337858,0.09240139081792886,0.0017198842790321852,17.948428321097502,0.3340774357348959,3,112,native Cartesian subgrid
airfoil2d,field,50.0,49.82698961937716,0.07447245603760448,0.002756412464000603,14.465837875977867,0.5354169574241425,3,112,native Cartesian subgrid
airfoil2d,field,75.0,74.95342028213997,0.0500280537200583,0.001729488404374643,9.717656068703405,0.3359429807637105,3,112,native Cartesian subgrid
airfoil2d,cdcl,37.5,37.40573152337858,0.5385546780650948,0.33618646841388944,7.2938795045567355,4.553119101078524,3,112,native Cartesian subgrid
airfoil2d,cdcl,50.0,49.82698961937716,0.3787427029613357,0.15381096017790338,5.129476636532352,2.083128521041648,3,112,native Cartesian subgrid
airfoil2d,cdcl,75.0,74.95342028213997,2.074052850709124,3.0989939468615537,28.08979699796842,41.971018643768566,3,112,native Cartesian subgrid
elasticity,field,37.5,37.5,0.21874611809007116,0.004159478228592886,28.473718397447314,0.5414304619225269,3,200,same Uniform random point subset
elasticity,field,50.0,50.0,0.15892687600416686,0.0009335645754323771,20.68717448629354,0.12152012140278763,3,200,same Uniform random point subset
elasticity,field,75.0,75.0,0.08517910489209372,0.0020192058876860796,11.087583483632072,0.26283574919837954,3,200,same Uniform random point subset
pipe,field,37.5,37.497746529655664,0.056094809998468116,0.0007940921819021249,11.60541416634688,0.1642891500565542,3,200,native Cartesian subgrid
pipe,field,50.0,49.762634457063875,0.04498344731702412,0.0004902529384673896,9.306592477242848,0.10142807146219061,3,200,native Cartesian subgrid
pipe,field,75.0,74.70704885523706,0.02734431763288489,0.00016067929832295176,5.65724585277029,0.033242822376023475,3,200,native Cartesian subgrid
darcy,field,37.5,37.5,0.02069256355317918,0.0004295382362614395,2.0945227179529913,0.04347830522626661,3,200,same existing Uniform curve; backbone is full-mesh-trained
darcy,field,50.0,50.0,0.017624711417729647,0.0002796501731590666,1.7839915468631526,0.02830648021236409,3,200,same existing Uniform curve; backbone is full-mesh-trained
darcy,field,75.0,75.0,0.01305549391614197,0.00011721570555800083,1.3214906181721096,0.011864695138481353,3,200,same existing Uniform curve; backbone is full-mesh-trained
plasticity2d,field,37.5,37.5,0.12396657947216966,0.01287209696071043,2.507591699484831,0.26037633393674264,3,80,same Uniform random point subset
plasticity2d,field,50.0,50.0,0.10192287884848406,0.006730425395150315,2.0616924825729686,0.13614281306091652,3,80,same Uniform random point subset
plasticity2d,field,75.0,75.0,0.07718152713388461,0.0030307591368903403,1.5612252723157676,0.06130609142531191,3,80,same Uniform random point subset
shapenet_car,field,37.5,37.5,0.18490911305588056,0.0008767860444318301,2.9486671987603468,0.013981735171514572,3,100,same Uniform random point subset
shapenet_car,field,50.0,50.0,0.15310044585804117,0.0009466870963891463,2.4414278742484803,0.015096417599324887,3,100,same Uniform random point subset
shapenet_car,field,75.0,75.0,0.10468303054371904,0.000304556417214858,1.6693358879386784,0.004856632011111488,3,100,same Uniform random point subset
shapenet_car,cd,37.5,37.5,0.02876839774198144,0.002220941212870472,2.056908759109698,0.15879485104429553,3,100,same Uniform random point subset
shapenet_car,cd,50.0,50.0,0.024061678779694246,0.001114618158641726,1.7203835362931204,0.0796939709376731,3,100,same Uniform random point subset
shapenet_car,cd,75.0,75.0,0.01638496810955399,0.00018332560954646912,1.171507176887127,0.013107579206435323,3,100,same Uniform random point subset
driverml,pressure,37.5,37.5,0.07792985734988811,3.616418829410082e-05,1.411092230169208,0.0006548325230862899,3,50,same Uniform random point subset
driverml,pressure,50.0,50.0,0.07398157338214885,8.45109749210715e-06,1.3395998263737772,0.00015302579028180397,3,50,same Uniform random point subset
driverml,pressure,75.0,75.0,0.06764259140185987,1.0160108582215039e-06,1.224818553524684,1.8397121162008276e-05,3,50,same Uniform random point subset
driverml,cd,37.5,37.5,0.012713695601543557,0.00015706655773495504,1.337637144213239,0.016525333649995623,3,50,same Uniform random point subset
driverml,cd,50.0,50.0,0.012650793133790838,4.884414067837568e-05,1.331019030962321,0.0051390043380179565,3,50,same Uniform random point subset
