benchmark,metric,method,budget_percent,normalized_mean,normalized_std,fullmesh_mean_error,raw_mean_error,raw_std_error,n_seeds,sample_count,mean_at_or_below_fullmesh
plasticity2d,field,cpg,75.0,1.0026057847720196,0.0006357779981549541,0.049436508941083916,0.0495653298432644,3.143064469033182e-05,3,80,False
plasticity2d,field,ca,37.5,1.028611947167395,0.0026283307909510077,0.049436508941083916,0.05085098372304666,0.00012993549864697565,3,80,False
plasticity2d,field,ca,50.0,1.0076391251321282,0.001953671671935967,0.049436508941083916,0.049814160618980426,9.65827070776048e-05,3,80,False
plasticity2d,field,ca,75.0,0.9992087106308101,0.0002753670602839589,0.049436508941083916,0.049397390357108974,1.361318613780793e-05,3,80,True
shapenet_car,field,uniform,37.5,2.9472347381451436,0.013497734152632185,0.06270938718808906,0.1848192843285301,0.0008464346371393049,3,100,False
shapenet_car,field,uniform,50.0,2.441442966150908,0.019234149648969433,0.06270938718808906,0.1531013922619939,0.0012061617375708714,3,100,False
shapenet_car,field,uniform,75.0,1.665867856777053,0.0024673127054124465,0.06270938718808906,0.10446555243482432,0.00015472366775780064,3,100,False
shapenet_car,field,pi,37.5,1.739376962214748,0.0024931281065597426,0.06270938718808906,0.10907526338956679,0.00015634253574376228,3,100,False
shapenet_car,field,pi,50.0,1.3540179205108505,0.0018889447152863669,0.06270938718808906,0.08490963403692613,0.00011845456552778744,3,100,False
shapenet_car,field,pi,75.0,1.108934175006841,0.0007041854461863395,0.06270938718808906,0.06954058254660812,4.415903779711642e-05,3,100,False
shapenet_car,field,cpg,37.5,1.5434511719301216,0.0018057471638692566,0.06270938718808906,0.09678887714647581,0.00011323729806287092,3,100,False
shapenet_car,field,cpg,50.0,1.3004416020573406,0.0018007217004415035,0.06270938718808906,0.08154989593891261,0.00011292215433098037,3,100,False
shapenet_car,field,cpg,75.0,1.0708304795008623,0.0005308689720212494,0.06270938718808906,0.06715112315182664,3.329046791262335e-05,3,100,False
shapenet_car,field,ca,37.5,1.543386690187847,0.0021546837280394192,0.06270938718808906,0.09678483353593297,0.00013511889616949914,3,100,False
shapenet_car,field,ca,50.0,1.3005957764794784,0.001962452807145977,0.06270938718808906,0.08155956412244496,0.00012306421292166935,3,100,False
shapenet_car,field,ca,75.0,1.0709143001924584,0.0004847816188610599,0.06270938718808906,0.06715637949603032,3.0400358238826824e-05,3,100,False
driverml,pressure,uniform,37.5,1.358468603103824,0.0005368072478020773,0.05522662210431371,0.07502363218418982,2.9646051017222013e-05,3,50,False
driverml,pressure,uniform,50.0,1.2819827953651324,2.4453789576238004e-05,0.05522662210431371,0.0707995793838619,1.350500195945302e-06,3,50,False
driverml,pressure,uniform,75.0,1.1567670392319969,0.0004386009386550573,0.05522662210431371,0.06388433613839133,2.422244829370013e-05,3,50,False
driverml,pressure,pi,37.5,1.1992613684989106,0.00012344235849126684,0.05522662210431371,0.06623115440239145,6.817304484062414e-06,3,50,False
driverml,pressure,pi,50.0,1.1202233731748314,0.0001660042856057474,0.05522662210431371,0.06186615290274602,9.167855948845175e-06,3,50,False
driverml,pressure,pi,75.0,1.0407954130341468,3.2489221240158396e-05,0.05522662210431371,0.05747961496353993,1.7942699438936704e-06,3,50,False
driverml,pressure,cpg,37.5,1.068635050660975,0.00016030735534429462,0.05522662210431371,0.05901710411027781,8.853233734141294e-06,3,50,False
driverml,pressure,cpg,50.0,1.0368551486061444,4.893323358337848e-05,0.05522662210431371,0.05726200746898358,2.702417199451356e-06,3,50,False
driverml,pressure,cpg,75.0,1.0099897340927675,3.266055653939594e-05,0.05522662210431371,0.05577832137397756,1.8037322137177914e-06,3,50,False
driverml,pressure,ca,37.5,1.0761910281684748,0.0003510629174555861,0.05522662210431371,0.05943439522471319,1.9388019077157532e-05,3,50,False
driverml,pressure,ca,50.0,1.0394749787326558,0.00021088887053432356,0.05522662210431371,0.057406691837357915,1.1646679959004627e-05,3,50,False
driverml,pressure,ca,75.0,1.0089104158099442,5.0422076753004213e-05,0.05522662210431371,0.05571871427104181,2.784640978552865e-06,3,50,False
