method,sample_id,seed,budget_fraction,selected_count,pressure_field_relative_l2
cpg,1640,7,0.75,8453,0.007933337038370139
cpg,1640,8,0.375,4227,0.00935316599499112
cpg,1640,8,0.5,5636,0.010898192526645074
cpg,1640,8,0.75,8453,0.0075184313268977475
cpg,2067,6,0.375,4227,0.0038151142363522256
cpg,2067,6,0.5,5636,0.0026278658395962424
cpg,2067,6,0.75,8453,0.0029270983245243743
cpg,2067,7,0.375,4227,0.005623247804355839
cpg,2067,7,0.5,5636,0.0067110117541661
cpg,2067,7,0.75,8453,0.0029631368376664825
cpg,2067,8,0.375,4227,0.006379656750426106
cpg,2067,8,0.5,5636,0.004230257437889728
cpg,2067,8,0.75,8453,0.0031394524322548656
cpg,1845,6,0.375,4227,0.01013904209154134
cpg,1845,6,0.5,5636,0.009996069210029932
cpg,1845,6,0.75,8453,0.010257610635962141
cpg,1845,7,0.375,4227,0.010407270049613468
cpg,1845,7,0.5,5636,0.010502758210884953
cpg,1845,7,0.75,8453,0.010242818461378062
cpg,1845,8,0.375,4227,0.013056671267730453
cpg,1845,8,0.5,5636,0.011487079257173313
cpg,1845,8,0.75,8453,0.010327764207333903
cpg,1426,6,0.375,4227,0.004971319030761772
cpg,1426,6,0.5,5636,0.0057463636045225995
cpg,1426,6,0.75,8453,0.0058638062856816294
cpg,1426,7,0.375,4227,0.0056515166888666275
cpg,1426,7,0.5,5636,0.005252512495442246
cpg,1426,7,0.75,8453,0.006145446556536414
cpg,1426,8,0.375,4227,0.009412152359008743
cpg,1426,8,0.5,5636,0.006090376212608431
cpg,1426,8,0.75,8453,0.006181626298098563
cpg,1756,6,0.375,4227,0.005175473446882415
cpg,1756,6,0.5,5636,0.004036652826793886
cpg,1756,6,0.75,8453,0.002834214962022322
cpg,1756,7,0.375,4227,0.0033746625660717572
cpg,1756,7,0.5,5636,0.0040791867796618015
cpg,1756,7,0.75,8453,0.002982044527974314
cpg,1756,8,0.375,4227,0.004329202254109659
cpg,1756,8,0.5,5636,0.0035060342054991597
cpg,1756,8,0.75,8453,0.003027515449236329
cpg,1919,6,0.375,4227,0.007619398649246404
cpg,1919,6,0.5,5636,0.006025724814465191
cpg,1919,6,0.75,8453,0.003306983427935604
cpg,1919,7,0.375,4227,0.006738710239061154
