sample_id,true_cl,pressure_field_relative_l2,ratio_abs_error
1001,0.09631367267046716,0.0033619880433035194,0.04117506360575113
1002,0.1394090045803521,0.0021810778553605966,0.021698783370479757
1004,0.16655849933677344,0.002575358556657453,0.01486725509943665
1005,0.0689260119938315,0.0016611008435055787,0.026571057927222697
1006,0.7278004835629109,0.004692475296327188,0.0003382136287636561
1007,0.024176366211576324,0.0019821782048453787,0.09465710346894185
1009,0.4131588742762784,0.004518628529004896,0.0010664342326187348
1011,0.47254073746788433,0.005871924392169988,0.0004996453442125681
1014,0.3700850955292564,0.008152493235839097,0.00212061442246346
1016,0.4275965592723525,0.007734759628158516,3.71778998521019e-05
1017,0.3505085369905106,0.004056956969104738,0.007201865270408836
1018,0.07811339869334112,0.003961987703358763,0.00462112559131711
1019,0.5519058147797679,0.011975675026640513,0.0007738631009084063
1022,0.7586632135816337,0.004497811862346108,0.0022047019240859222
1023,0.49736406625164986,0.003495866348779846,0.00243748260009638
1024,0.17714765802238255,0.003473260204567365,0.002571778006861536
1025,0.524919141264816,0.0028679771829910094,0.002501028034228303
1028,0.34608971552160095,0.0032950284073021783,0.002288728136304048
1029,0.43180855719079514,0.002151230123082203,0.0015081947383354666
1031,0.5285873422142785,0.004856625382992037,0.0022759158613847863
1032,0.39553720553602667,0.010680501746327425,0.000993166920735672
1034,0.8124685429654684,0.0032082466644933463,0.0015425575388124807
1035,0.34561836070324087,0.010082917681887493,0.00901265610697772
1036,0.271561812800706,0.0040658469786096565,0.008379651279089156
1039,0.15108597873278667,0.0016297777149021238,0.00952376487040163
1042,0.0502027049951845,0.002153430160096771,0.008521175316057783
1043,0.705125342408706,0.0036175439095698265,0.0017454172894542375
1044,0.5782681420623786,0.00974385817792406,0.0017436651742937653
1046,0.3863946771332227,0.003075259883317278,0.0005190873812147556
1047,0.658611575770458,0.0036553543786554854,0.0014225063302457652
1049,0.3053193375197398,0.006657960430356973,0.001895888203466256
1051,0.3090422757520929,0.003216940677794319,0.0026282676943391176
1052,0.13589449715046506,0.004657961390404783,0.010474988081223102
1053,1.0298491945454333,0.007235530249900344,0.0021870522389604574
1055,0.07040310799495829,0.003414790519433986,0.0008912968407609467
1059,0.024676433623413232,0.0037223186555805764,0.3840626683201318
1060,0.3748979637383253,0.006842693179297001,5.3985723458410684e-05
1062,0.41429571882806937,0.011206261053255008,0.009941985871357056
1065,0.4516052138440471,0.002672869995077864,0.0037448277377322148
1066,0.19191640293619378,0.002746408700738504,0.0021264245411373173
1068,0.18389925193384724,0.0023951651321292085,0.009918335565150649
1070,0.7398820776806122,0.00440012619418388,0.0030188893648239457
1072,0.3272135881851055,0.0028542810985021237,0.0012842599037707902
1076,0.9433432363820913,0.02657472257801219,0.0010737913652930087
1078,0.28237370542457296,0.007149464150209699,0.0016116306914107925
1080,0.22973708939932086,0.003454666801681783,0.0077778664693627375
1082,0.8405901407148695,0.00976452803794512,0.0028041704106189502
1084,0.2455594811577895,0.007015683379663209,0.0006186694581649943
1087,0.3202177529599556,0.004693349060322809,0.00690214096002123
1088,0.10654236373465854,0.0030177884476079325,0.004470646437963591
1090,0.8339300493222837,0.007703398259215814,0.0006095216738344483
1091,0.7590946591900007,0.01405913861732965,0.00325665489792315
1092,0.2478512524670138,0.0037304104745335773,0.005761030718155813
1093,0.12306024136885321,0.01271525586430558,0.0017433736560836105
1094,0.14205172452745315,0.003277928244200245,0.014049518137434297
1095,0.4990913526762979,0.009349048387346955,0.007376012465667298
1097,0.49781916234755047,0.0033202131687240545,0.0013651324237267115
1098,0.29160689453489336,0.0017847782378398824,0.0018157912085019629
1099,0.3672703644478073,0.0030639042757646968,0.0011914747119676286
1101,0.33202023462756974,0.007940489056047212,0.01693613143812471
1103,0.604293266075298,0.00932743702310077,0.0038015045689833576
1106,0.21258914773798318,0.005238957388169194,0.02311511040984776
1108,0.762682696634012,0.007027981084569823,0.0004881659162682961
1109,0.2714030885640533,0.0035988231597711136,0.0012462621641676774
1111,0.31374336288401816,0.007720139594652734,0.004323579109338338
1113,0.6352500165570483,0.0046391728174656035,0.000473536214726622
1115,0.5238253760905404,0.005222776529127867,0.003105784264582606
1120,0.66901510173913,0.008181370595155675,0.00018054159347979937
1124,0.1834118674726206,0.0023398841218161778,0.011312064674300237
1125,0.13183377081023395,0.0038782546758917183,0.005198448871453543
1128,0.506886950703694,0.0024020827721805828,0.0011050478008666903
1129,0.5189594463251899,0.003004028148280525,0.0006136421032147121
1131,0.10266126515573608,0.0018133938937799166,0.008373404500270354
1132,0.13194443204335096,0.0030217679157009676,0.01539122607427218
1134,0.46382060398195346,0.002326091878705363,0.002131576810422836
1140,0.12168585217166981,0.005223487254431077,0.018882010513691844
1144,0.11914047659174284,0.0039165733162228105,0.028727432987586954
1145,0.19710304958512154,0.002313930571275312,0.008327410565230217
