benchmark,n,mean_ms,case_std_ms
pipe,1,3896.026737987995,
elasticity,1,210.72688698768616,
darcy,1,20547.033362090588,
plasticity2d,1,19099.246464669704,
airfoil2d,1,467.4437344074249,
shapenet_car,1,4466.256394982338,
superwing,1,311.64999306201935,
driverml,9,4765.697842670812,312.9572790462182
