benchmark,budget,method,mode,metric,cases,mean,case_std
darcy,0.75,uniform,original,relative_l2,9,0.01578399985292613,0.0019170436262503645
darcy,0.75,uniform,fast,relative_l2,9,0.015789078661463198,0.0018954756605306625
darcy,0.75,uniform,previous_runtime,relative_l2,9,0.01578399985292613,0.0019170436262503645
darcy,0.75,pi,original,relative_l2,9,0.015124559130371553,0.0010507323929170721
darcy,0.75,pi,fast,relative_l2,9,0.0151282730482369,0.0010125214830878852
darcy,0.75,pi,previous_runtime,relative_l2,9,0.015124559130371553,0.0010507323929170721
darcy,0.75,cpg,original,relative_l2,9,0.014122653169810095,0.0008753641218388458
darcy,0.75,cpg,fast,relative_l2,9,0.014143647756550482,0.0009008261712881802
darcy,0.75,cpg,previous_runtime,relative_l2,9,0.014209034729258172,0.0005493706195277142
darcy,0.75,ca,original,relative_l2,9,0.014190049916696297,0.0008751974287647048
darcy,0.75,ca,fast,relative_l2,9,0.014212141888571546,0.0008991659856012848
darcy,0.75,ca,previous_runtime,relative_l2,9,0.014299644527202414,0.0007139463608976885
darcy,1.0,full,original,relative_l2,3,0.01387069591631492,0.0003866141337929494
darcy,1.0,full,fast,relative_l2,3,0.01387069591631492,0.0003866141337929494
darcy,1.0,full,previous_runtime,relative_l2,3,0.01387069591631492,0.0003866141337929494
plasticity2d,0.375,uniform,original,relative_l2,9,0.04331958881106685,0.015051480628815781
plasticity2d,0.375,uniform,fast,relative_l2,9,0.03941909090303251,0.008586358046398833
plasticity2d,0.375,uniform,previous_runtime,relative_l2,9,0.04331958881106685,0.015051480628815781
plasticity2d,0.375,pi,original,relative_l2,9,0.03613776274366109,0.009408477877879821
plasticity2d,0.375,pi,fast,relative_l2,9,0.034257825950220026,0.008311707498921326
plasticity2d,0.375,pi,previous_runtime,relative_l2,9,0.03613776274366109,0.009408477877879821
plasticity2d,0.375,cpg,original,relative_l2,9,0.034080334332391896,0.008611889943954109
plasticity2d,0.375,cpg,fast,relative_l2,9,0.034332216730970755,0.008571212938471812
plasticity2d,0.375,cpg,previous_runtime,relative_l2,9,0.03419211036730394,0.008222189894838167
plasticity2d,0.375,ca,original,relative_l2,9,0.034337886861319514,0.0083079017916922
plasticity2d,0.375,ca,fast,relative_l2,9,0.03432121800044997,0.008372617298719028
plasticity2d,0.375,ca,previous_runtime,relative_l2,9,0.03414285285858653,0.008014141975018076
plasticity2d,0.5,uniform,original,relative_l2,9,0.03840514662842019,0.008820548638052374
plasticity2d,0.5,uniform,fast,relative_l2,9,0.038350916040750443,0.008605699474661749
plasticity2d,0.5,uniform,previous_runtime,relative_l2,9,0.03840514662842019,0.008820548638052374
plasticity2d,0.5,pi,original,relative_l2,9,0.03409653498906288,0.0075787174172931284
plasticity2d,0.5,pi,fast,relative_l2,9,0.033666621361245735,0.00780330353292608
plasticity2d,0.5,pi,previous_runtime,relative_l2,9,0.03409653498906288,0.0075787174172931284
plasticity2d,0.5,cpg,original,relative_l2,9,0.03405481261977027,0.008355745276909538
plasticity2d,0.5,cpg,fast,relative_l2,9,0.03427699675034837,0.008287397748806657
