benchmark,budget,method,stage,cases,mean_ms,case_std_ms,repeat_std_ms,repeats_per_case_min,repeats_per_case_max
pipe,0.375,uniform,coarse_ms,9,0.0,0.0,0.0,5,5
pipe,0.375,uniform,density_sampling_compensation_ms,9,0.0,0.0,0.0,5,5
pipe,0.375,uniform,fine_ms,9,3.2237187027931213,0.0024205492752036855,0.0053004401798072975,5,5
pipe,0.375,uniform,decode_ms,9,0.03133432732688056,0.002901651397910789,0.003568034135864097,5,5
pipe,0.375,uniform,sampled_export_ms,9,0.03603299458821615,0.0034054896474975107,0.004277300315926613,5,5
pipe,0.375,uniform,reconstruction_original_ms,9,0.0799309876230028,0.0012677823038036832,0.0018672853858253567,5,5
pipe,0.375,uniform,full_export_original_ms,9,0.04201763206058078,0.001702188007569062,0.0050643218543090516,5,5
pipe,0.375,uniform,reconstruction_fast_ms,9,0.04643930329216851,0.002101177788400092,0.003006306347250748,5,5
pipe,0.375,uniform,full_export_fast_ms,9,0.038665864202711314,0.002540902489822753,0.0036266726064563258,5,5
pipe,0.375,pi,coarse_ms,9,0.0,0.0,0.0,5,5
pipe,0.375,pi,density_sampling_compensation_ms,9,0.0,0.0,0.0,5,5
pipe,0.375,pi,fine_ms,9,3.365461197164324,0.0019241919961199387,0.0036890929523902697,5,5
pipe,0.375,pi,decode_ms,9,0.029442542129092746,0.002794507601464721,0.003037180540531309,5,5
pipe,0.375,pi,sampled_export_ms,9,0.030001004536946613,0.0019364127772334874,0.002303518494983532,5,5
pipe,0.375,pi,reconstruction_original_ms,9,0.07364402214686076,0.0007459065701876735,0.001248612983703634,5,5
pipe,0.375,pi,full_export_original_ms,9,0.038198630015055336,0.0026509637964799637,0.002831762702709519,5,5
pipe,0.375,pi,reconstruction_fast_ms,9,0.04511442449357775,0.0005831419447668156,0.0018327506176997615,5,5
pipe,0.375,pi,full_export_fast_ms,9,0.03667241997188992,0.0017043131233268145,0.003021760524514878,5,5
pipe,0.375,cpg,coarse_ms,9,1.4742213818762038,0.0012076296671109737,0.0022997413181887276,5,5
pipe,0.375,cpg,density_sampling_compensation_ms,9,0.2396754092640347,0.0027426022460089513,0.0036691168170609858,5,5
pipe,0.375,cpg,fine_ms,9,3.3632743689748974,0.004103878725359728,0.004166964590206631,5,5
pipe,0.375,cpg,decode_ms,9,0.029415223333570693,0.003900890257747049,0.005697901785646116,5,5
pipe,0.375,cpg,sampled_export_ms,9,0.05138715108235677,0.004181916776794618,0.006577047632657891,5,5
pipe,0.375,cpg,reconstruction_original_ms,9,63.053251802921295,1.6348376606291597,0.7663346436307449,5,5
pipe,0.375,cpg,full_export_original_ms,9,0.0,0.0,0.0,5,5
pipe,0.375,cpg,reconstruction_fast_ms,9,1.0979687174161274,0.0688637529236931,0.01718853201333469,5,5
pipe,0.375,cpg,full_export_fast_ms,9,0.08355793025758532,0.005040834264653302,0.006970767303220572,5,5
pipe,0.375,ca,coarse_ms,9,0.5984715289539762,0.0016212288945206238,0.0019118824716839815,5,5
pipe,0.375,ca,density_sampling_compensation_ms,9,0.18130640188852945,0.002022619943168316,0.002879617861139378,5,5
pipe,0.375,ca,fine_ms,9,3.360921641190847,0.0019524673994322998,0.002846830458489483,5,5
pipe,0.375,ca,decode_ms,9,0.02902795871098836,0.002644012448214279,0.0034249468010512157,5,5
pipe,0.375,ca,sampled_export_ms,9,0.05659096770816379,0.003153235624319349,0.003756334671632635,5,5
pipe,0.375,ca,reconstruction_original_ms,9,63.64215115706126,1.569377910106436,1.1921193067445057,5,5
pipe,0.375,ca,full_export_original_ms,9,0.0,0.0,0.0,5,5
pipe,0.375,ca,reconstruction_fast_ms,9,1.1048105027940538,0.06514276145086152,0.018594212464129525,5,5
pipe,0.375,ca,full_export_fast_ms,9,0.08409122625986735,0.005082271986819733,0.006634164714731488,5,5
pipe,0.5,uniform,coarse_ms,9,0.0,0.0,0.0,5,5
pipe,0.5,uniform,density_sampling_compensation_ms,9,0.0,0.0,0.0,5,5
pipe,0.5,uniform,fine_ms,9,4.026057985093859,0.004935422267343498,0.004441609949564882,5,5
pipe,0.5,uniform,decode_ms,9,0.030348201592763264,0.0023299860856223088,0.0030697509224221465,5,5
pipe,0.5,uniform,sampled_export_ms,9,0.035141574011908636,0.0016090319197479698,0.002929460008116961,5,5
pipe,0.5,uniform,reconstruction_original_ms,9,0.0797534982363383,0.0015145300459366458,0.0022054466688706,5,5
pipe,0.5,uniform,full_export_original_ms,9,0.04018594821294149,0.0016152420559817765,0.0025757629227225916,5,5
pipe,0.5,uniform,reconstruction_fast_ms,9,0.04659046729405721,0.0007760930458171166,0.002698010818742837,5,5
pipe,0.5,uniform,full_export_fast_ms,9,0.037171774440341525,0.002483737745372026,0.0022267817633916747,5,5
pipe,0.5,pi,coarse_ms,9,0.0,0.0,0.0,5,5
pipe,0.5,pi,density_sampling_compensation_ms,9,0.0,0.0,0.0,5,5
pipe,0.5,pi,fine_ms,9,4.1907623410224915,0.026010770666185158,0.055060496669955244,5,5
pipe,0.5,pi,decode_ms,9,0.031239125463697646,0.004890298599891664,0.007903429431454778,5,5
pipe,0.5,pi,sampled_export_ms,9,0.03021061420440674,0.0021857306469080092,0.003595631978695879,5,5
pipe,0.5,pi,reconstruction_original_ms,9,0.07414503229988946,0.0009188579198796761,0.0025871677878628453,5,5
pipe,0.5,pi,full_export_original_ms,9,0.03670073217815823,0.0007611380224859569,0.0013564243011764969,5,5
pipe,0.5,pi,reconstruction_fast_ms,9,0.045709974235958524,0.0013285430064553783,0.003032500713882359,5,5
pipe,0.5,pi,full_export_fast_ms,9,0.036190284623040095,0.001077457114784491,0.0016617996279067921,5,5
pipe,0.5,cpg,coarse_ms,9,1.4748440848456488,0.0012263113479234946,0.0021717150939263483,5,5
pipe,0.5,cpg,density_sampling_compensation_ms,9,0.23966729640960693,0.0026119469061420242,0.0034980503673613535,5,5
pipe,0.5,cpg,fine_ms,9,4.180618955029382,0.0026167902236161043,0.0045212814970133465,5,5
pipe,0.5,cpg,decode_ms,9,0.028358399868011475,0.0023150567711220215,0.002627358742713606,5,5
pipe,0.5,cpg,sampled_export_ms,9,0.052389833662245006,0.003088885528258377,0.0028364679877377536,5,5
pipe,0.5,cpg,reconstruction_original_ms,9,88.62418118450377,1.3450491574233032,0.5360094913704749,5,5
pipe,0.5,cpg,full_export_original_ms,9,0.0,0.0,0.0,5,5
pipe,0.5,cpg,reconstruction_fast_ms,9,1.0915466480784946,0.019942009535912346,0.012506735017918012,5,5
pipe,0.5,cpg,full_export_fast_ms,9,0.08559409115049574,0.005193707644602789,0.004931255885238478,5,5
pipe,0.5,ca,coarse_ms,9,0.5989506840705872,0.0021266100197561044,0.003183797171199556,5,5
pipe,0.5,ca,density_sampling_compensation_ms,9,0.18321855200661552,0.002366297294706364,0.003203982695431998,5,5
pipe,0.5,ca,fine_ms,9,4.183562099933624,0.0037360408009324674,0.006984433691486516,5,5
pipe,0.5,ca,decode_ms,9,0.02939270602332221,0.002703622543731612,0.003770259876502952,5,5
pipe,0.5,ca,sampled_export_ms,9,0.06007585260603163,0.003281775308195178,0.002877344067007285,5,5
pipe,0.5,ca,reconstruction_original_ms,9,88.48627590470844,1.3072688549610867,0.4321058704454418,5,5
pipe,0.5,ca,full_export_original_ms,9,0.0,0.0,0.0,5,5
pipe,0.5,ca,reconstruction_fast_ms,9,1.1085238721635606,0.06342325560109172,0.014587844698839982,5,5
pipe,0.5,ca,full_export_fast_ms,9,0.08188320530785455,0.005208586723818928,0.004734619938588598,5,5
pipe,0.75,uniform,coarse_ms,9,0.0,0.0,0.0,5,5
pipe,0.75,uniform,density_sampling_compensation_ms,9,0.0,0.0,0.0,5,5
pipe,0.75,uniform,fine_ms,9,5.756936636235979,0.003830316005440047,0.008417406361583434,5,5
pipe,0.75,uniform,decode_ms,9,0.03402514590157403,0.002763033469120943,0.005351098240231621,5,5
pipe,0.75,uniform,sampled_export_ms,9,0.040058791637420654,0.0028560047343758055,0.004781721834872816,5,5
pipe,0.75,uniform,reconstruction_original_ms,9,0.07941838767793444,0.0024231967112425903,0.003533450710825465,5,5
pipe,0.75,uniform,full_export_original_ms,9,0.04159808158874512,0.0022439114103100706,0.0035126407332089957,5,5
pipe,0.75,uniform,reconstruction_fast_ms,9,0.0471949577331543,0.001212056503627722,0.0028477489431848737,5,5
pipe,0.75,uniform,full_export_fast_ms,9,0.03692805767059326,0.001557940097692042,0.00217760813308826,5,5
pipe,0.75,pi,coarse_ms,9,0.0,0.0,0.0,5,5
pipe,0.75,pi,density_sampling_compensation_ms,9,0.0,0.0,0.0,5,5
pipe,0.75,pi,fine_ms,9,5.998037921057807,0.006679539808317798,0.00698718239627211,5,5
