benchmark,budget,method,component,n,mean_ms,case_std_ms
pipe,0.5,ca,first_full_fast_after_sampled_ms,9,11.022941933737862,0.3101961792176685
pipe,0.75,uniform,adapter_increment_ms,9,0.10463015900717841,0.016806666804104975
pipe,0.75,uniform,case_preparation_ms,9,147.99352155791388,2.6047674066628326
pipe,0.75,uniform,reported_shared_input_preparation_ms,9,2665.85401362843,5609.596845758398
pipe,0.75,uniform,gpu_runtime_and_reconstruction_preparation_ms,9,112.59842829571829,196.48811352816404
pipe,0.75,uniform,first_sampled_call_ms,9,34.86919982565774,0.39572203144074924
pipe,0.75,uniform,graph_setup_ms,9,41.759234335687424,0.4460567461565419
pipe,0.75,uniform,first_full_original_after_sampled_ms,9,6.686871250470479,0.06893358371634907
pipe,0.75,uniform,first_full_fast_after_sampled_ms,9,6.554344462023841,0.044672581051351905
pipe,0.75,pi,adapter_increment_ms,9,0.025472707218594022,0.0009748198860599734
pipe,0.75,pi,case_preparation_ms,9,146.41421288251877,1.8418364232105977
pipe,0.75,pi,reported_shared_input_preparation_ms,9,2664.2686327298484,5609.503024368812
pipe,0.75,pi,gpu_runtime_and_reconstruction_preparation_ms,9,50.48550499810113,5.674657115279419
pipe,0.75,pi,first_sampled_call_ms,9,35.2863147854805,0.48599237731708883
pipe,0.75,pi,graph_setup_ms,9,42.443941036860146,0.5658787141221058
pipe,0.75,pi,first_full_original_after_sampled_ms,9,6.942273014121586,0.09555421685563277
pipe,0.75,pi,first_full_fast_after_sampled_ms,9,6.816238164901733,0.055457278098904904
pipe,0.75,cpg,adapter_increment_ms,9,2.7052495214674206,0.05492777611569129
pipe,0.75,cpg,case_preparation_ms,9,0.14860928058624268,0.00900678282106291
pipe,0.75,cpg,reported_shared_input_preparation_ms,9,2520.511546068721,5610.208609648769
pipe,0.75,cpg,gpu_runtime_and_reconstruction_preparation_ms,9,64.63913785086737,0.8467199947577279
pipe,0.75,cpg,first_sampled_call_ms,9,75.68073686626222,57.7100071420359
pipe,0.75,cpg,graph_setup_ms,9,80.14405187633302,57.66825757987785
pipe,0.75,cpg,first_full_original_after_sampled_ms,9,146.79857840140662,2.7390267111851223
pipe,0.75,cpg,first_full_fast_after_sampled_ms,9,13.656867874993218,0.07842887371944032
pipe,0.75,ca,adapter_increment_ms,9,0.2062395215034485,0.010873809064340137
pipe,0.75,ca,case_preparation_ms,9,0.31014780203501385,0.1571540200290672
pipe,0.75,ca,reported_shared_input_preparation_ms,9,2518.186336590184,5610.240328452149
pipe,0.75,ca,gpu_runtime_and_reconstruction_preparation_ms,9,50.43532864915,5.774171058387258
pipe,0.75,ca,first_sampled_call_ms,9,51.33267740408579,2.988886053411529
pipe,0.75,ca,graph_setup_ms,9,56.17524600691266,3.280112486599555
pipe,0.75,ca,first_full_original_after_sampled_ms,9,145.993505915006,2.981479890920601
pipe,0.75,ca,first_full_fast_after_sampled_ms,9,13.132166531350878,0.6253577767456836
pipe,1.0,full,adapter_increment_ms,3,0.10143965482711792,0.004417685413887102
pipe,1.0,full,case_preparation_ms,3,0.6039440631866455,0.10818174986093318
pipe,1.0,full,reported_shared_input_preparation_ms,3,6305.933644374211,9675.577984477788
pipe,1.0,full,gpu_runtime_and_reconstruction_preparation_ms,3,0.03785391648610433,0.006700745565421436
pipe,1.0,full,first_sampled_call_ms,3,41.20548566182455,0.2286063936005767
pipe,1.0,full,graph_setup_ms,3,33.65649779637655,0.20477612299556514
pipe,1.0,full,first_full_original_after_sampled_ms,3,7.428072392940521,0.010606895236459614
pipe,1.0,full,first_full_fast_after_sampled_ms,3,7.397870222727458,0.0060756564916784085
elasticity,0.375,uniform,adapter_increment_ms,9,44.46688128842248,6.207367270157068
elasticity,0.375,uniform,case_preparation_ms,9,3.660556342866686,0.09621498947885762
