benchmark,budget,method,mode,cases,mean_ms,case_std_ms,repeat_std_ms,repeats_per_case_min,repeats_per_case_max,paired_ratio_to_uniform_mean,paired_ratio_to_uniform_std
pipe,0.5,pi,original,9,4.311584764056736,0.00951608151283396,0.0641836387628938,5,5,1.0324492626954829,0.0013500799203440981
pipe,0.5,pi,fast,9,4.233461452855004,0.004240093437070887,0.005793855801763032,5,5,1.034085202651241,0.00126248952593067
pipe,0.5,cpg,sampled,9,5.890855027569665,0.007246910666558516,0.008630883743451341,20,20,1.4587413507913825,0.0012545384780825919
pipe,0.5,cpg,original,9,94.51192451847925,1.1981071069451024,0.47779874026883923,5,5,22.631875925506087,0.2938962143476971
pipe,0.5,cpg,fast,9,6.860413319534725,0.02126827792280737,0.00847746593474849,5,5,1.675758202239364,0.005798354257659301
pipe,0.5,ca,sampled,9,4.92307874891493,0.006875654647579501,0.009404797871661125,20,20,1.219092606790471,0.0011860106568915222
pipe,0.5,ca,original,9,93.89258490668402,1.2656839985784452,1.0899505461538468,5,5,22.483505709671242,0.30435565592219854
pipe,0.5,ca,fast,9,5.913061069117652,0.06615832747134297,0.0073664177933222144,5,5,1.4443491964330886,0.015887474863624955
pipe,0.75,uniform,sampled,9,5.7795879327588615,0.021448185989226452,0.05965377404295947,20,20,1.0,0.0
pipe,0.75,uniform,original,9,5.900095568762885,0.01034470639576699,0.05619386723312852,5,5,1.0,0.0
pipe,0.75,uniform,fast,9,5.820179482301076,0.007298201800586301,0.05376266273099401,5,5,1.0,0.0
pipe,0.75,pi,sampled,9,6.024669359127681,0.015792779458395596,0.03489729744027431,20,20,1.0424087365246404,0.0014532331842785076
pipe,0.75,pi,original,9,6.125952634546492,0.008719896228397304,0.05877753548764849,5,5,1.0382811144188144,0.0009577612660420073
pipe,0.75,pi,fast,9,6.0466605756017895,0.008463068217566433,0.008015138662632357,5,5,1.0389133704299045,0.0010492065162563688
pipe,0.75,cpg,sampled,9,7.721024172173606,0.0204071581181612,0.04887420511669193,20,20,1.3359175538946673,0.0017101123879171044
pipe,0.75,cpg,original,9,146.64066301451788,2.4999395622316594,1.675249455761341,5,5,24.853722692024053,0.4065496770927725
pipe,0.75,cpg,fast,9,8.671655588679844,0.010039633996580888,0.010983466256678717,5,5,1.4899298036315587,0.001173333141831668
pipe,0.75,ca,sampled,9,6.773627094096607,0.028081638686100762,0.0825287623193624,20,20,1.171989812563243,0.0007686020249416406
pipe,0.75,ca,original,9,145.27671337127686,2.432318734085353,2.373296131767946,5,5,24.622403664974836,0.3839599927657547
pipe,0.75,ca,fast,9,7.771313356028663,0.14836406480253145,0.028593628637001964,5,5,1.3352255685630372,0.024777241790913195
pipe,1.0,full,sampled,3,7.406929507851601,0.003786108859544195,0.008245225298681205,20,20,1.0,0.0
pipe,1.0,full,original,3,7.406929507851601,0.003786108859544195,0.008245225298681205,20,20,1.0,0.0
pipe,1.0,full,fast,3,7.406929507851601,0.003786108859544195,0.008245225298681205,20,20,1.0,0.0
elasticity,0.375,uniform,sampled,9,0.9869462913937039,0.006924215215588489,0.029632742353058277,20,20,1.0,0.0
elasticity,0.375,uniform,original,9,1.055380039744907,0.012139308341858692,0.043139578899076214,5,5,1.0,0.0
elasticity,0.375,uniform,fast,9,1.055380039744907,0.012139308341858692,0.043139578899076214,5,5,1.0,0.0
elasticity,0.375,pi,sampled,9,1.0087175087796316,0.00639207210995054,0.021266774043824647,20,20,1.0220658974439758,0.0024535002077027764
elasticity,0.375,pi,original,9,1.0784529977374606,0.01018868585910497,0.02744345382264343,5,5,1.0218962172873927,0.005797612548714457
elasticity,0.375,pi,fast,9,1.0784529977374606,0.01018868585910497,0.02744345382264343,5,5,1.0218962172873927,0.005797612548714457
elasticity,0.375,cpg,sampled,9,2.0855669346120624,0.013298662313147391,0.04416483156178033,20,20,2.113165432364492,0.005433005847885956
elasticity,0.375,cpg,original,9,5.057957437303331,0.09615495960245204,0.12988297366875345,5,5,4.792248870176137,0.04378324572838357
elasticity,0.375,cpg,fast,9,5.057957437303331,0.09615495960245204,0.12988297366875345,5,5,4.792248870176137,0.04378324572838357
elasticity,0.375,ca,sampled,9,1.5240475949313905,0.023910087212681858,0.02889919813543028,20,20,1.544162571585156,0.017861209602747296
elasticity,0.375,ca,original,9,4.460584620634715,0.1052039476076857,0.04850895025220553,5,5,4.226097763267634,0.057929900013762956
elasticity,0.375,ca,fast,9,4.460584620634715,0.1052039476076857,0.04850895025220553,5,5,4.226097763267634,0.057929900013762956
elasticity,0.5,uniform,sampled,9,1.0265154971016779,0.004321758434568917,0.027696550852892028,20,20,1.0,0.0
elasticity,0.5,uniform,original,9,1.0965233047803242,0.0059783501886670025,0.03680176292813438,5,5,1.0,0.0
elasticity,0.5,uniform,fast,9,1.0965233047803242,0.0059783501886670025,0.03680176292813438,5,5,1.0,0.0
elasticity,0.5,pi,sampled,9,1.0469641950395372,0.0033737217915842093,0.019207971924728125,20,20,1.0199326366309918,0.004504877294203071
elasticity,0.5,pi,original,9,1.1153716180059645,0.005519004025183643,0.029063334102346572,5,5,1.0172022564882077,0.004937203429425303
elasticity,0.5,pi,fast,9,1.1153716180059645,0.005519004025183643,0.029063334102346572,5,5,1.0172022564882077,0.004937203429425303
elasticity,0.5,cpg,sampled,9,2.208733351694213,0.0030225052161252154,0.04500720348275088,20,20,2.151711141013653,0.008662579069300477
elasticity,0.5,cpg,original,9,5.964609152740902,0.03975996525523125,0.12086205188695137,5,5,5.43964460417124,0.037647221630016436
elasticity,0.5,cpg,fast,9,5.964609152740902,0.03975996525523125,0.12086205188695137,5,5,5.43964460417124,0.037647221630016436
